href;firstName;lastName;rank_score_Featherweight;rank_Featherweight
be0b310a12eb80b4;Enrique;Barzola;0.0;116
bf0e700106d00e55;Austin;Arnett;0.0;117
bebb4ae55ac2bf6f;Chris;Fishgold;0.0;118
fef3d17e27e916e7;Antonio;Carvalho;0.0;119
07225ba28ae309b6;Charles;Oliveira;0.0;120
cbb682f5fcc44bfc;Anthony;Pettis;0.0;121
cbd3e590a85b18c5;Mirsad;Bektic;0.0;122
f95381efb3051d81;Hugo;Viana;0.0;123
f7d73e452b064bf2;Danny;Henry;0.0;124
f59e9e49ef85b469;Jason;Young;0.0;125
f4c49976c75c5ab2;Conor;McGregor;0.0;126
f2688492b9a525a3;Frankie;Edgar;0.0;127
fbf0537e420e698e;Daniel;Teymur;0.0;128
08e908ed6d18d6a0;Myles;Jury;0.0;129
09f579be4520394a;Diego;Rivas;0.0;130
ef7fa30364cbe7f2;Hatsu;Hioki;0.0;131
eea0274e153256a0;Ian;Loveland;0.0;132
ed209f6618c82e41;Hacran;Dias;0.0;133
e93b04e308913c2e;Dooho;Choi;0.0;134
e363b21261814830;Marcos;Vinicius;0.0;135
fe5a9547479396ab;Jim;Alers;0.0;136
0a97691039c4bbfb;Mark;Hominick;0.0;137
e0b74df14f52cd15;Mike;Brown;0.0;138
0d62719b1dcf7c40;Sheymon;Moraes;0.0;139
dd12382f28296f7b;Wang;Guan;0.0;140
b71ce838b01f2cad;Rony;Jason;0.0;141
1291edf2d566a71a;Julio;Arce;0.0;142
d188a3b817860ec6;Steven;Siler;0.0;143
fa37628269132d1a;Godofredo;Pepey;0.0;144
d0d7160824278840;Junior;Assuncao;0.0;145
cfaf010d5b389c09;Mike;Wilkinson;0.0;146
cf946e03ba2e7666;Kevin;Aguilar;0.0;147
cc900c6a71ed23f3;Clay;Collard;0.0;148
cc84b68f862b466f;Eddie;Yagin;0.0;149
cc6f9d1e89f3449a;Manvel;Gamburyan;0.0;150
cc351e408bbb7d43;Brandon;Davis;0.0;151
d0f3959b4a9747e6;Jose;Aldo;0.0;152
9f755fb04cc21499;Noad;Lahat;0.0;153
b6c4451cb13c9303;Andy;Ogle;0.0;154
65f09bacd3957381;Cory;Sandhagen;0.0;155
69f01b25dfabaf6b;Mads;Burnell;0.0;156
6c7020b859c7a3ce;Edimilson;Souza;0.0;157
6f242453c91a5af0;Dennis;Bermudez;0.0;158
6fb1ba67bef41b37;Nik;Lentz;0.0;159
71002dbc1743b9a7;Felipe;Arantes;0.0;160
7413b80dbb0f8f9f;Lucas;Martins;0.0;161
3f52ce18fb98008f;Akira;Corassani;0.0;162
3c0437fbeda06962;George;Roop;0.0;163
776a58a67665a171;Nad;Narimani;0.0;164
3a314d9fa7c6825d;Douglas;Silva de Andrade;0.0;165
3a24769a4855040a;Diego;Nunes;0.0;166
39cc64bf0a269db9;Niklas;Backstrom;0.0;167
7b433309b0fd12aa;Brad;Katona;0.0;168
7bde387d50829adf;Eduardo;Garagorri;0.0;169
7be63795363029e8;Cody;McKenzie;0.0;170
68f6e96c5fa6e044;Jeremy;Kennedy;0.0;171
40ff198adda94b9f;Mark;Eddiva;0.0;172
b6452706b373eea1;Renato;Moicano;0.0;173
64360e618823a8e4;Phillipe;Nover;0.0;174
4a1329cc8eb0928a;Maximo;Blanco;0.0;175
4cd8b03aee1d0138;Shane;Young;0.0;176
4f732e58ed907eff;Ross;Pearson;0.0;177
511e82663651438d;Michael;Johnson;0.0;178
51b1e2fd9872005b;Mackens;Semerzier;0.0;179
55ed59d541f8b90c;Rolando;Dy;0.0;180
56fcb2c4d99f9d1b;Mike;Grundy;0.0;181
57bf89d42364d39e;Issei;Tamura;0.0;182
44470bfd9483c7ad;Katsunori;Kikuno;0.0;183
436f970c9ea9169c;Gabriel;Benitez;0.0;184
5b8ba8f5512893b1;Matt;Sayles;0.0;185
4304992c2acc187b;Bart;Palaszewski;0.0;186
5ef0088c1b19beeb;Bryan;Caraway;0.0;187
5f87a5c00b3d17ed;Dennis;Siver;0.0;188
5fceb45939fc0c8a;Tom;Niinimaki;0.0;189
7c7332319c14094c;Marlon;Vera;0.0;190
7d96bc577e5178b2;Gray;Maynard;0.0;191
80d918336163b80c;Tatsuya;Kawajiri;0.0;192
80dbeb1dd5b53e64;Nam;Phan;0.0;193
960d6cae8879ba2b;Robert;Peralta;0.0;194
96428b9e9bd048ea;Luke;Sanders;0.0;195
2c1170b825f58e57;Guangyou;Ning;0.0;196
2844b047183a1adb;Luis;Pena;0.0;197
99bd87a300079ed9;Erik;Koch;0.0;198
282fa667ff9c51ed;Cole;Miller;0.0;199
242d36d241b43c12;Kron;Gracie;0.0;200
9cfbfae5fa1fdd93;Geraldo;de Freitas;0.0;201
4638cc6479cc0afe;Masio;Fullen;0.0;202
9f842be1a5337be6;Michihiro;Omigawa;0.0;203
a20d7dfaba74c067;Rodrigo;Damm;0.0;204
20205040232ed0f3;Tyson;Griffin;0.0;205
1dafccb62a0f98ec;Robert;Whiteford;0.0;206
b0a6124751a56bc4;Jonathan;Brookins;0.0;207
b5b684eac99ae0a3;Chad;Mendes;0.0;208
2c2caf2f2bab9df5;Humberto;Bandenay;0.0;209
94527830000ab715;Rani;Yahya;0.0;210
2c99576fefe53c7c;Renan;Barao;0.0;211
893d51aaf024eddd;Jimy;Hettes;0.0;212
