href;firstName;lastName;rank_score;rank_score
b4ad3a06ee4d660c;Alistair;Overeem;2241.74;111
c849740a3ff51931;TJ;Dillashaw;2186.83;112
4b47e71384a9522f;Tim;Means;2161.64;113
e64b96c07d7ce999;Li;Jingliang;2150.88;114
cbb682f5fcc44bfc;Anthony;Pettis;2142.6;115
c6aee362c7a7d482;Randy;Brown;1944.33;116
76e2870ffafbe38f;Movsar;Evloev;1793.91;117
751de04455cfaac0;Calvin;Kattar;1704.21;118
333b9e5c723ac873;Aleksandar;Rakic;1642.68;119
34ff304266360297;Manon;Fiorot;1632.13;120
d31a5546c0e9b213;Rodrigo;Nascimento;1615.81;121
7aa3d6964eff4877;Alex;Caceres;1518.68;122
efb96bf3e9ada36f;Song;Yadong;1481.14;123
d910665038efc639;Carla;Esparza;1460.78;124
c451d67c09c55418;Chan Sung;Jung;1453.84;125
64a50dad704d1d49;Edson;Barboza;1451.26;126
37ed1ab2f8b819f4;Brad;Riddell;1429.91;127
82a5152216251682;Dan;Ige;1424.57;128
285ae0b4a68221f4;JunYong;Park;1403.71;129
d945aae53e3e54e6;Thiago;Moises;1289.47;130
e8b731feff72294b;Alexa;Grasso;1256.42;131
e9a3aeb207578eea;Ilir;Latifi;1252.18;132
a53d30163304aa6e;Carlston;Harris;1230.18;133
a67f5afa8d6a1b80;Ryan;Spann;1217.15;134
e4277e87a789d687;Dustin;Jacoby;1210.37;135
e90a2f22417af68e;Azamat;Murzakanov;1192.8;136
447f9858ae78f921;Muslim;Salikhov;1165.09;137
3a8176e15b9887c1;Chris;Weidman;1111.86;138
8e9eb3fc86db0f7d;Marc-Andre;Barriault;1107.42;139
d66a46de8d705353;Jeremiah;Wells;1098.72;140
5442f1bc4b47eaf3;Chris;Curtis;1067.41;141
05339613bf8e9808;Rob;Font;1058.31;142
0845c81e37d3bcb3;Volkan;Oezdemir;1052.85;143
99bd51917728c25d;Grant;Dawson;1028.77;144
8e382b585a92affe;Phil;Rowe;1017.06;145
4e06913c91da5200;Krzysztof;Jotko;974.17;146
6d35bf94f7d30241;Amir;Albazi;963.6;147
aa171d55d4b5208f;Billy;Quarantillo;960.43;148
396fe87b84ac2e1c;Lerone;Murphy;924.36;149
47b63240018d5d86;Rose;Namajunas;878.29;150
dea070ed4a2a8281;Thiago;Santos;841.3;151
f4c49976c75c5ab2;Conor;McGregor;831.7;152
bf2c8e01b07d3eb1;Myktybek;Orolbai;826.53;153
7026eca45f65377b;Jared;Gordon;823.51;154
53c943c873cffe90;Philipe;Lins;822.71;155
681399317dbf4701;Uros;Medic;820.84;156
669970f7feba8ecd;Erin;Blanchfield;813.35;157
6751eacd16bd59bc;Josh;Culibao;797.89;158
f53d4f21d1b5f2dc;Diego;Ferreira;779.15;159
853eb0dd5c0e2149;Kai;Kara-France;775.29;160
cad24459b28592ca;Eryk;Anders;774.33;161
6bd02119599741a4;Pedro;Munhoz;768.24;162
31f8081c7600da93;Kyle;Nelson;765.76;163
5bf31a46becc1204;Michael;Trizano;760.13;164
10f3ba6cd2f44a97;Dominick;Cruz;758.93;165
5f61780fe5e9b6d0;Andre;Petroski;758.84;166
94426bb170c88115;Sodiq;Yusuff;751.19;167
8d11d9c13e2ccdf7;Muhammad;Naimov;726.76;168
4aa58269d0664b5b;Matthew;Semelsberger;723.09;169
d2f43cfaf8ca3560;Fernando;Padilla;716.07;170
f2477cf43c4975cc;Jonathan;Martinez;696.91;171
132deb59abae64b1;Valentina;Shevchenko;651.63;172
80fa8218c99f9c58;Amanda;Nunes;629.38;173
e132d47bd9efbbe0;Rafa;Garcia;628.65;174
a845f0735bc67405;Jake;Matthews;627.87;175
c41d426cc7326d1b;Yan;Xiaonan;625.88;176
329e403448756217;Nathaniel;Wood;618.45;177
2558ae2e5671e318;Khaos;Williams;606.42;178
902ec2cc48c8ae8a;Julian;Erosa;557.77;179
6a1901c62ab3870f;Jessica;Andrade;547.75;180
6a740daf1b279661;Maycee;Barber;544.14;181
ab943cd2c3c17825;Marcos;Rogerio de Lima;542.96;182
7826923b47f8d72a;Paddy;Pimblett;541.62;183
c47df9303d318c67;Clay;Guida;538.73;184
3df5493bb279226f;Amanda;Lemos;537.86;185
33efaf2d0941cfcf;Andre;Fialho;532.93;186
c0badf3243907e59;Alexandr;Romanov;506.86;187
f2925e6db404bf1d;Robbie;Lawler;503.26;188
4126a78111c0855a;Caio;Borralho;502.72;189
98d961097baaf308;Shane;Burgos;501.93;190
d1c65d2cf2925ddd;Gregory;Rodrigues;499.01;191
441eacbe20e0e80b;Augusto;Sakai;495.63;192
a68575214ecad140;SeungWoo;Choi;492.78;193
