href;firstName;lastName;rank_score_Bantamweight;rank_Bantamweight
f9081770e28ea2e1;Reginaldo;Vieira;0.0;115
f95381efb3051d81;Hugo;Viana;0.0;116
c5a126ace82a6025;Anthony;Birchak;0.0;117
b57edace7b647f07;Matt;Hobar;0.0;118
01fcef7e3d051722;Henry;Briones;0.0;119
b4eeac608fc82f88;Yves;Jabouin;0.0;120
33b2f68ef95252e0;Miguel;Torres;0.0;121
56709e66f1c6008f;Cole;Smith;0.0;122
55f80a8aeffcdb33;Dustin;Pague;0.0;123
55f446032177b119;Chris;Beal;0.0;124
544d7460b3e44393;Albert;Morales;0.0;125
528c24b99fbaab79;Johnny;Eduardo;0.0;126
48e093ea1f43a053;Takeya;Mizugaki;0.0;127
4417980b3e798abf;Reuben;Duran;0.0;128
42a7e90605df3c8a;Damian;Stasiak;0.0;129
3d5b1ce6097dbb49;Augusto;Mendes;0.0;130
3c0437fbeda06962;George;Roop;0.0;131
39330403ad27c2bb;Patrick;Williams;0.0;132
36549928f90f1d36;Jose;Quinonez;0.0;133
3623bd267a2eef2e;Yaotzin;Meza;0.0;134
32be4b7f7de1c905;Chico;Camus;0.0;135
5aedf14771ca82d2;Wilson;Reis;0.0;136
31bbd39c0a075d4e;Pingyuan;Liu;0.0;137
2fc7e9701642ca38;Matthew;Lopez;0.0;138
2f95a3c6d58b2aad;Iuri;Alcantara;0.0;139
2dc1bc1a02961656;Manny;Bermudez;0.0;140
2c99576fefe53c7c;Renan;Barao;0.0;141
2c1170b825f58e57;Guangyou;Ning;0.0;142
2b074403b7c6cdb4;Thomas;Almeida;0.0;143
2525a853486ee670;Sirwan;Kakai;0.0;144
1ae8f3c723aacff4;Ricardo;Ramos;0.0;145
1a31ef98efce7a79;Matheus;Nicolau;0.0;146
173acb3f920082b8;Roland;Delorme;0.0;147
12f1b140e248bdb9;Jerrod;Sanders;0.0;148
0b64d0fed453ef7f;Scott;Jorgensen;0.0;149
5755960ebd0b16f6;Ivan;Menjivar;0.0;150
5ef0088c1b19beeb;Bryan;Caraway;0.0;151
b4537562f88ac582;Khalid;Taha;0.0;152
8bb6f4479685bbcc;Vaughan;Lee;0.0;153
b2e3aca4cd363477;Chris;Cariaso;0.0;154
b26d3e3746fb4024;Brian;Bowles;0.0;155
af62f99eb7606308;Erik;Perez;0.0;156
ab2b4ff41d6ebe0f;Alex;Perez;0.0;157
a4e85a58fbce64b2;Joe;Soto;0.0;158
a4de54ea806fb525;Ray;Borg;0.0;159
9c907996820d2d69;Jimmie;Rivera;0.0;160
9ba2226646046b63;Frankie;Saenz;0.0;161
98aa60cf58071fd6;Kyoji;Horiguchi;0.0;162
97a8f39186f489db;Jeff;Hougland;0.0;163
96428b9e9bd048ea;Luke;Sanders;0.0;164
92aafa8f4b26269b;Walel;Watson;0.0;165
8cb76103cd8a1562;Nick;Pace;0.0;166
8a304bfd6bf04a57;Demetrious;Johnson;0.0;167
64788ee44b062ded;Michinori;Tanaka;0.0;168
81801f57bd0a7c41;Marcus;Brimage;0.0;169
80eacd4da0617c57;Joseph;Benavidez;0.0;170
7ea4a9f07df33a45;Francisco;Rivera;0.0;171
7c3c48cf54a2848e;Yuta;Sasaki;0.0;172
7bd94b60d7521e4a;John;Albert;0.0;173
7aa3d6964eff4877;Alex;Caceres;0.0;174
78114b7199cef90c;Urijah;Faber;0.0;175
773f7feacf96153e;Benito;Lopez;0.0;176
7413b80dbb0f8f9f;Lucas;Martins;0.0;177
71002dbc1743b9a7;Felipe;Arantes;0.0;178
700a674c042b7a96;Cody;Gibson;0.0;179
67c1d46f4ed16f9e;Matt;Schnell;0.0;180
6546af7ab545b90c;Darren;Uyenoyama;0.0;181
ffc3e6daaa6da0b7;Johnny;Bedford;0.0;182
