href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
879f6cae48d25baa;Justin;Lawrence;0.0;284
8866c6f509c19089;Ryan;Hall;0.0;285
896c322f56b8be5a;George;Sotiropoulos;0.0;286
8a59d346dc976a10;Thiago;Tavares;0.0;287
8a8a84b743ae7699;Dennis;Hallman;0.0;288
8bbc0cfc01bc1ba1;Leonardo;Mafra;0.0;289
8ce87f7e3a9baed2;Tiago;dos Santos e Silva;0.0;290
8e8e4487c621aa1c;Joe;Ellenberger;0.0;291
8f4eeaf7a0df7c1a;Teemu;Packalen;0.0;292
8f5c8850b2484173;Mairbek;Taisumov;0.0;293
8f6a18831a120817;James;Krause;0.0;294
902ec2cc48c8ae8a;Julian;Erosa;0.0;295
917e53fa0adea0d3;Leonard;Garcia;0.0;296
92a9aa9c93192871;Darren;Elkins;0.0;297
93892752c5fc23ca;Jerry;Bohlander;0.0;298
946f341df6472ee0;Guy;Mezger;0.0;299
7b143a54451263d9;Paul;Sass;0.0;300
79899ecf62020f6d;Joe;Stevenson;0.0;301
5731cc327790b731;Matt;Veach;0.0;302
5f99b2bafb10305f;Daron;Cruickshank;0.0;303
654ae722109a0d31;Joe;Duffy;0.0;304
64a50dad704d1d49;Edson;Barboza;0.0;305
6420efac0578988b;Yoshiki;Takahashi;0.0;306
633a45d131192ffe;Kajan;Johnson;0.0;307
6256b2b1562cb8e1;James;Vick;0.0;308
621a6c59f88a44fe;Matt;Hughes;0.0;309
5f87a5c00b3d17ed;Dennis;Siver;0.0;310
784285b7ae7dd85f;Shane;Campbell;0.0;311
5f04e3d58d9ce982;Yves;Edwards;0.0;312
5bf31a46becc1204;Michael;Trizano;0.0;313
59279a7c978f7da0;Al;Iaquinta;0.0;314
5904b0b38dc6718d;Cody;Pfister;0.0;315
58bc81376286b3d3;Per;Eklund;0.0;316
57b10fca4f9c9a7a;Alex;Oliveira;0.0;317
66ab58d0b3783607;Andrew;Holbrook;0.0;318
672ef06fd9f41f7d;Marcelo;Mello;0.0;319
68c7ad953455c73f;Don;Madge;0.0;320
68f6e96c5fa6e044;Jeremy;Kennedy;0.0;321
6bf5a7d3e081ade2;Anthony;Njokuani;0.0;322
6da99156486ed6c2;Joshua;Burkman;0.0;323
6f242453c91a5af0;Dennis;Bermudez;0.0;324
6f81b6de2557739a;Jacob;Volkmann;0.0;325
