href;firstName;lastName;rank_score_Light Heavyweight;rank_Light Heavyweight
21b8a0f5c231096f;Mark;Coleman;0.0;114
20bcc9966affb19c;Jake;O'Brien;0.0;115
1fd4fbdcc67de844;Drew;McFedries;0.0;116
1fb80f46d3c105d9;Fabio;Maldonado;0.0;117
1f454354805b6f75;Anderson;Silva;0.0;118
1e1dbd1cc5a7469e;Jimi;Manuwa;0.0;119
1d4bbaabd8b60173;Stanislav;Nedkov;0.0;120
1ccf4e7caff270df;Dan;Henderson;0.0;121
18aecaf50f52e4c3;Phillip;Miller;0.0;122
13a0275fa13c4d26;Jared;Cannonier;0.0;123
132f860d02953f4c;Goran;Reljic;0.0;124
11f8860028b68fcf;Aaron;Rosa;0.0;125
0ee783aa00e468f0;Vitor;Belfort;0.0;126
0e041d43a47d2e4b;Matt;Lindland;0.0;127
0d980975001ae3d8;Shamil;Gamzatov;0.0;128
0aa92558424ced9e;Randy;Couture;0.0;129
0541480fbf719d86;Houston;Alexander;0.0;130
3c6976f8182d9527;Alexander;Gustafsson;0.0;131
4130a743d9d22163;Alan;Belcher;0.0;132
43563a32c3f10e95;Cyrille;Diabate;0.0;133
679a9054e2815943;Tomasz;Drwal;0.0;134
8f2d9ee27f206f1f;Evan;Tanner;0.0;135
88d7b6d8230e1f3f;Saparbeg;Safarov;0.0;136
88a9bc81271ccd89;Vinny;Magalhaes;0.0;137
84a067c46306a737;Sam;Hoger;0.0;138
7f955f71fa2ce7ac;Alessio;Sakara;0.0;139
7c6e87729e824ef4;Ildemar;Alcantara;0.0;140
7bc96507e4b38d3b;Cody;Donovan;0.0;141
744e098e065cfdbe;Ricardo;Romero;0.0;142
025f0b1b58fbad01;Darko;Stosic;0.0;143
7279654c7674cd24;Klidson;Abreu;0.0;144
68c6cd5287b473a7;Dean;Lister;0.0;145
6859f67468ba8489;Kevin;Randleman;0.0;146
67f272324a030d00;Misha;Cirkunov;0.0;147
622f015c81a9b13a;Travis;Lutter;0.0;148
4690d47bf725fd98;Gokhan;Saki;0.0;149
5e4eec08896c9423;Corey;Anderson;0.0;150
5d7bdab5e03e3216;CB;Dollaway;0.0;151
5c1ca0c72b599a3c;Rafael;Cavalcante;0.0;152
5be86bb2f78fef2f;Jason;Lambert;0.0;153
59583ff832fe9d68;Krzysztof;Soszynski;0.0;154
579fcdfcabd23a7b;Brian;Stann;0.0;155
53278852bcd91e11;Igor;Pokrajac;0.0;156
523f6ad11dbe9b53;Hans;Stringer;0.0;157
4f95f74620a6b7a4;David;Heath;0.0;158
4d44f37107f01b9b;Tom;Lawlor;0.0;159
4b4753d19489297f;Anthony;Perosh;0.0;160
497ba5b12a4bfc47;Jason;Brilz;0.0;161
48d1f690b763934c;Chael;Sonnen;0.0;162
ffc088e64fab57e9;Quinton;Jackson;0.0;163
