href;firstName;lastName;rank_score_Middleweight;rank_Middleweight
0ee783aa00e468f0;Vitor;Belfort;0.0;113
b13da0b1a3aed3e7;Nick;Ring;0.0;114
0e21976afc92e4d1;Magnus;Cedenblad;0.0;115
acff437707625fc7;Yushin;Okami;0.0;116
0e041d43a47d2e4b;Matt;Lindland;0.0;117
abd5fb12437eda21;Ramazan;Emeev;0.0;118
0c9c0a43d3f3f49d;Marcelo;Guimaraes;0.0;119
b2a2da86546ddb19;Buddy;Roberts;0.0;120
b59037262c8fe060;Ryan;Janes;0.0;121
b7f38813485745da;Michael;Kuiper;0.0;122
0dba4df5f34d5ff0;Rafael;Natal;0.0;123
b9664eae2ac75262;Eric;Spicely;0.0;124
bd21a1e3d41c97ee;Ronny;Markes;0.0;125
bdcbb976816fd256;Daniel;Kelly;0.0;126
ce783bf73b5131f9;Eugene;Jackson;0.0;127
d156513a19acf856;Sam;Alvey;0.0;128
d023ae89a2a4a41e;Matthew;Riddle;0.0;129
f215cfbd4ba3c270;Garreth;McLellan;0.0;130
e17ac6410c8377f4;Bartosz;Fabinski;0.0;131
e4bde462b043d3e1;Sanae;Kikuta;0.0;132
04b39f4e8eb59d7c;Oluwale;Bamgbose;0.0;133
e8c170a64dc920ac;Tulio;Palhares;0.0;134
e9ac7bfb65c25497;John;Phillips;0.0;135
045f25b3a4c08e81;Jack;Marshman;0.0;136
0359313549d230a1;Pete;Sell;0.0;137
010986ee359fb863;John;Salter;0.0;138
eff47295daf721a6;Tamdan;McCrory;0.0;139
00e11b5c8b7bfeeb;Luke;Rockhold;0.0;140
f341f9551ba744e2;Paul;Jones;0.0;141
dfae5da5676e4194;Chris;Dempsey;0.0;142
f5ff7bcdcfeba3ad;Trevor;Prangley;0.0;143
f77c68bb4be8516d;Yoel;Romero;0.0;144
f797f0c57a83353e;Trevor;Smith;0.0;145
f7a7f7118d4b01b6;Lyoto;Machida;0.0;146
f8dc544e7077d014;Jorge;Santiago;0.0;147
f8fe2053d73d7bcf;Nick;Catone;0.0;148
fae67903c4fe636b;Antonio Braga;Neto;0.0;149
fc31f896cde2bc2e;John;Howard;0.0;150
fcaae0385b514f11;Frank;Shamrock;0.0;151
fcce75a25c14a804;Bojan;Velickovic;0.0;152
054defd5420a551f;Rob;Kimmons;0.0;153
df2bf09c99594848;Mario;Miranda;0.0;154
d0c29452d3272603;Dan;Miller;0.0;155
d512d9f204059f57;Joe;Riggs;0.0;156
06827d70c53ff0d9;Scott;Askham;0.0;157
05866d8c3a321856;Marvin;Eastman;0.0;158
d1e6a6536ee62517;Tyrone;Roberts;0.0;159
d23ccf4a6c221284;Karlos;Vemola;0.0;160
d2c55d1d2e67773b;David;Branch;0.0;161
d317a5e2b3f88c5f;Warlley;Alves;0.0;162
05560764359161e4;Constantinos;Philippou;0.0;163
d43a048a880efdff;Chris;Leben;0.0;164
d4c9dcd330403612;Anthony;Smith;0.0;165
d4f364dd076bb0e2;Cung;Le;0.0;166
d58478ded5534695;Maiquel;Falcao;0.0;167
dea070ed4a2a8281;Thiago;Santos;0.0;168
d5f820c11a121050;Aaron;Simpson;0.0;169
d62bb4d84a7267ba;Mark;Hughes;0.0;170
d897897060f10a3a;Rich;Franklin;0.0;171
da1d8d76404bb6b5;Bruno;Santos;0.0;172
da97d6c97d09c030;Charles;McCarthy;0.0;173
db1f2ed63b54b9a7;Hector;Lombard;0.0;174
dbaaf42313af90fa;Joe;Doerksen;0.0;175
dbc17725b887860a;Cezar;Ferreira;0.0;176
dc950d59dc590aca;Ebenezer Fontes;Braga;0.0;177
dd37fd509af89f15;Josh;Koscheck;0.0;178
9deff9e3e8d94d47;Josh;Samman;0.0;179
32016899d0a222a3;Lee;Murray;0.0;180
9ce6d5a03af801b7;Darren;Till;0.0;181
231cae8b77fbbcc1;Khalid;Murtazaliev;0.0;182
253de74457bd6374;Tony;Fryklund;0.0;183
234f3767ff0e5701;Kendall;Grove;0.0;184
4f2fcbefb668689d;Jake;Rosholt;0.0;185
523fa774700d7d3f;Court;McGee;0.0;186
52cae54377b433b7;Nate;Quarry;0.0;187
52e76bb4b3e852f3;Antonio;Carlos Junior;0.0;188
23459ee7e373b98f;Jared;Hamman;0.0;189
546015aa2ad945fd;Rory;Singer;0.0;190
232c582f29f8f65e;Gegard;Mousasi;0.0;191
579fcdfcabd23a7b;Brian;Stann;0.0;192
5abf827d62f98fee;Clifford;Starks;0.0;193
4bcb6eb12b4ad4aa;Vitor;Miranda;0.0;194
5b2d7906aa894274;Mike;Massenzio;0.0;195
5cafbc97dba2e797;Robert;McDaniel;0.0;196
5d7bdab5e03e3216;CB;Dollaway;0.0;197
5f2f0da6fd6a84fd;Andrei;Semenov;0.0;198
22e47b53e4ceb27c;David;Loiseau;0.0;199
622f015c81a9b13a;Travis;Lutter;0.0;200
63eedfcc73071d41;Lance;Gibson;0.0;201
2284092f8b63273b;Luke;Zachrich;0.0;202
6506c1d34da9c013;Georges;St-Pierre;0.0;203
210935fd21670f6d;Rich;Attonito;0.0;204
4d44f37107f01b9b;Tom;Lawlor;0.0;205
4a01dc8376736ef5;John;Lewis;0.0;206
9ccdd2ce45903f34;Mark;Weir;0.0;207
2ac4628c08ec5125;Markus;Perez;0.0;208
3410cf010558dc8b;Scott;Smith;0.0;209
34e552520a934063;Brad;Scott;0.0;210
34f88592c0ab7a54;Elias;Theodorou;0.0;211
3591d0d5d382a381;Francis;Carmont;0.0;212
2be6596a9db33bf5;Jason;MacDonald;0.0;213
2b93ebd9f5417ad2;Michael;Bisping;0.0;214
37d5b176d438d2a5;Karl;Roberson;0.0;215
394f55ebca199124;Ivan;Salaverry;0.0;216
3a12a2f096a6d975;Roger;Narvaez;0.0;217
2b6d855c6e280fb1;Alex;Nicholson;0.0;218
3c241737a6069b9f;Denis;Kang;0.0;219
2650e2f846a30f64;Amir;Sadollah;0.0;220
3c660c90d48fc80d;Tim;Kennedy;0.0;221
4123fd4dcc1fe937;David;Terrell;0.0;222
275cafc9de131c83;Dave;Menne;0.0;223
4130a743d9d22163;Alan;Belcher;0.0;224
427b5953ac8e3a27;Demian;Maia;0.0;225
445a98acb8985970;Falaniko;Vitale;0.0;226
46d0a888d87d91ac;Abu;Azaitar;0.0;227
483a953b18d73bb3;Deron;Winn;0.0;228
48d1f690b763934c;Chael;Sonnen;0.0;229
49858bf46dabf6fb;Nordine;Taleb;0.0;230
6776260cb0aef647;Logan;Clark;0.0;231
679a9054e2815943;Tomasz;Drwal;0.0;232
6809c31286b08d97;Tom;Watson;0.0;233
8ddf9c51c5fdea75;Rousimar;Palhares;0.0;234
179f1948dc234f1f;Mark;Munoz;0.0;235
89b8d1bf1ff09d1d;Tim;Credeur;0.0;236
8a70ceb3edbe757b;Andrew;Craig;0.0;237
8abf70f79e9e27c2;Tor;Troeng;0.0;238
8b5f9ea38184ded3;Nicholas;Musoke;0.0;239
8b69839f3555a67b;Martin;Kampmann;0.0;240
172c2135e70f87b7;Luke;Barnatt;0.0;241
8cad40a75e5c97f5;Eddie;Gordon;0.0;242
8d26912cd2aeb366;Jeremy;Horn;0.0;243
8d9586726252dbf7;Kevin;Casey;0.0;244
1652f3213655b935;Phil;Baroni;0.0;245
