href;firstName;lastName;rank_score_Light Heavyweight;rank_Light Heavyweight
7bc96507e4b38d3b;Cody;Donovan;0.0;141
744e098e065cfdbe;Ricardo;Romero;0.0;142
025f0b1b58fbad01;Darko;Stosic;0.0;143
7279654c7674cd24;Klidson;Abreu;0.0;144
68c6cd5287b473a7;Dean;Lister;0.0;145
6859f67468ba8489;Kevin;Randleman;0.0;146
67f272324a030d00;Misha;Cirkunov;0.0;147
622f015c81a9b13a;Travis;Lutter;0.0;148
4690d47bf725fd98;Gokhan;Saki;0.0;149
5e4eec08896c9423;Corey;Anderson;0.0;150
5d7bdab5e03e3216;CB;Dollaway;0.0;151
5c1ca0c72b599a3c;Rafael;Cavalcante;0.0;152
5be86bb2f78fef2f;Jason;Lambert;0.0;153
59583ff832fe9d68;Krzysztof;Soszynski;0.0;154
579fcdfcabd23a7b;Brian;Stann;0.0;155
53278852bcd91e11;Igor;Pokrajac;0.0;156
523f6ad11dbe9b53;Hans;Stringer;0.0;157
4f95f74620a6b7a4;David;Heath;0.0;158
4d44f37107f01b9b;Tom;Lawlor;0.0;159
4b4753d19489297f;Anthony;Perosh;0.0;160
497ba5b12a4bfc47;Jason;Brilz;0.0;161
48d1f690b763934c;Chael;Sonnen;0.0;162
ffc088e64fab57e9;Quinton;Jackson;0.0;163
