href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
a36556bb1565e32d;Joe;Proctor;0.0;115
aa5b4eff51bdc7d1;Gilbert;Melendez;0.0;116
e0ec3c3b6b611f7e;Hermes;Franca;0.0;117
aac5ac38148f0528;Paul;Kelly;0.0;118
abbc737317f66b81;Corey;Hill;0.0;119
df85d6ec3493d120;Joe;Moreira;0.0;120
e45cfa47f504033a;Jason;Gonzalez;0.0;121
cedfdf8d423d500c;Pat;Miletich;0.0;122
af90b10c785ced3e;Mike;Rio;0.0;123
a331233f597090a5;Bryan;Barberena;0.0;124
ff4c3ab594c7fac3;Cristiano;Marcello;0.0;125
eb29176b03dfa888;Matt;Wiman;0.0;126
99bd87a300079ed9;Erik;Koch;0.0;127
99dd0147dc4ef80c;Genki;Sudo;0.0;128
9a2d3567abc02e34;Tae Hyun;Bang;0.0;129
9b198c73e3d0d289;Justin;Salas;0.0;130
9b74de674c355425;Paul;Taylor;0.0;131
9b7694d064a8a0ad;Rustam;Khabilov;0.0;132
9c44f290f5726d95;Martin;Bravo;0.0;133
eb1723480fa2f96c;Caol;Uno;0.0;134
9f1641c08cf8fbe2;Shannon;Gugerty;0.0;135
ed9d8ee3a4239b1c;Sage;Northcutt;0.0;136
a00ec21cfbba17b6;Yui Chul;Nam;0.0;137
e8efeb9cf33b1941;Cesar;Marscucci;0.0;138
a0c139b34f11421a;John;Gunderson;0.0;139
e5c9de15bb58b1c6;Evan;Dunham;0.0;140
a149d6bc670cdb60;Dustin;Hazelett;0.0;141
a20d7dfaba74c067;Rodrigo;Damm;0.0;142
e51fcd9cd84c0b93;Michel;Prazeres;0.0;143
a26198ba5093147e;TJ;Grant;0.0;144
e5010b1b94ca5755;Paul;Felder;0.0;145
fba03cd6cc28dc41;Josh;Emmett;0.0;146
fa8b9e6b0c2269f8;Jason;Dent;0.0;147
dc0f07928009a127;Rob;Emerson;0.0;148
d024ed963e8bf7ea;Damien;Brown;0.0;149
f2c8ebbeafd45f2b;Aaron;Riley;0.0;150
c4af2feb4b58bc3b;Kazuki;Tokudome;0.0;151
c575ab451e3c5b1d;Mickael;Lebout;0.0;152
d1e7fc58d4225cdf;Danny;Castillo;0.0;153
d1a1314976c50bef;Josh;Neer;0.0;154
d0d7160824278840;Junior;Assuncao;0.0;155
c76ec2bc3a57666a;Mitch;Clarke;0.0;156
d06f8869449ba7bd;Alexander;Yakovlev;0.0;157
c8097968da5e5f13;Chris;Wade;0.0;158
f34312c2ccfa0e00;Spencer;Fisher;0.0;159
c295de4e10acd4c9;Isaac;Vallie-Flagg;0.0;160
cfaf010d5b389c09;Mike;Wilkinson;0.0;161
cb139171ed1b69fe;Kenny;Florian;0.0;162
f4c49976c75c5ab2;Conor;McGregor;0.0;163
cbb682f5fcc44bfc;Anthony;Pettis;0.0;164
cbe79765d44bd172;Alvin;Robinson;0.0;165
cc6f9d1e89f3449a;Manvel;Gamburyan;0.0;166
ccd1299e0345e0ce;Melvin;Guillard;0.0;167
cd7763bcadb5d4c8;Alan;Patrick;0.0;168
